Place,Player,Character,Date,Game
,,,,
1st,Graham Wolfe,,Unknown,
2nd,Jason Nelson,xrolento,Unknown,
3rd,Mike Watson,Watts,Unknown,
4th,Alex Valle,CaliPower,Unknown,
5th,Alex Wolfe,,Unknown,
5th,Firas,,Unknown,
7th,Jason Cole,AfroCole,Unknown,
7th,Dave Finnie,,Unknown,
